Time(utc),GHI,DHI,DNI,LWD,wind_dir_min,wind_dir_avg,wind_dir_max,wind_speed_min,wind_speed_avg,wind_speed_max,air_temperature,relative_humidity,air_pressure,rain_accumulation,rain_duration,rain_intensity,hail_accumulation,hail_duration,hail_intensity,
02:59:00 29/03/2018,-1.269,-1.071,-0.2257,-0.2257,77.3,87.43,97.3,5.578,6.475,7.378,0.5767,67.43,997.2,0,0.3333,0,0,0,0,
03:59:00 29/03/2018,-1.267,-1.064,-0.2099,-0.2099,72.12,82.92,93.25,5.26,6.185,7.1,0.5833,67.89,996.9,0,0.3333,0,0,0,0,
04:59:00 29/03/2018,-0.08134,0.08779,-0.1117,-0.1117,78.02,86.87,96.27,4.72,5.582,6.403,0.735,65.96,996.9,0,0,0,0,0,0,
05:59:00 29/03/2018,15.79,16.25,0.004993,0.004993,76.95,86.45,97.38,4.727,5.662,6.533,0.8717,65.03,997,0,0.1667,0,0,0,0,
06:59:00 29/03/2018,55.42,56.53,0.1736,0.1736,77.35,86.8,96.48,5.132,6.045,6.9,1.003,63.34,997.1,0,0,0,0,0,0,
07:59:00 29/03/2018,119.6,121.9,0.3126,0.3126,79.6,87.83,96.45,6.15,7.188,8.172,1.077,62.76,997.1,0,0.6667,0,0,0,0,
08:59:00 29/03/2018,140.8,143.5,0.4047,0.4047,70.38,80.68,89.9,5.812,6.897,7.927,1.057,63.45,997.2,0,0.5,0,0,0,0,
09:59:00 29/03/2018,160.8,164,0.5161,0.5161,67.48,76.87,85.78,6.1,7.17,8.143,1.065,63.06,997.4,0,0.3333,0.001667,0,0,0,
10:59:00 29/03/2018,171.7,174.9,0.5805,0.5805,64.83,76.07,87.68,5.672,6.76,7.778,1.348,61.39,997.7,0,0.1667,0,0,0,0,
11:59:00 29/03/2018,196,199.4,0.7876,0.7876,62.35,71.48,81.57,5.25,6.223,7.158,1.165,66.62,997.7,0,0.1667,0,0,0,0,
12:59:00 29/03/2018,187.7,191,0.8878,0.8878,65.07,70.67,81.43,5.295,6.308,7.313,0.63,76.54,997.8,0,0,0,0,0,0,
13:59:00 29/03/2018,181.9,184.7,1.846,1.846,58.13,73.75,91.72,4.438,5.368,6.28,0.5317,79.31,998,0,0,0,0,0,0,
14:59:00 29/03/2018,107.1,108.8,1.327,1.327,63.57,75.55,89.77,4.262,5.023,5.767,0.9917,74.3,998.1,0,0,0,0,0,0,
15:59:00 29/03/2018,27.93,28.63,0.4531,0.4531,60.78,69.38,82,4.148,4.985,5.78,1.06,70.15,998.3,0,0.1667,0,0,0,0,
16:59:00 29/03/2018,10.13,10.42,0.2159,0.2159,57.4,63.93,69.03,4.25,5.04,5.813,0.8617,68.77,998.7,0,0,0,0,0,0,
17:59:00 29/03/2018,1.914,2.007,0.04733,0.04733,50.33,63.68,70.32,4.127,5.135,6.06,0.7567,67.12,999.1,0,0,0,0,0,0,
18:59:00 29/03/2018,-0.6308,-0.4261,-0.05716,-0.05716,69.62,64.6,75.83,3.658,4.57,5.357,0.555,67.09,999.6,0,0,0,0,0,0,
19:59:00 29/03/2018,-0.8058,-0.5034,-0.07443,-0.07443,67.17,57.88,62.03,3.207,4.065,4.892,0.1383,70.43,999.9,0,0,0,0,0,0,
20:59:00 29/03/2018,-0.6851,-0.4681,-0.01792,-0.01792,75.55,49.43,58.25,2.943,3.587,4.177,0,70.77,1000,0,0,0,0,0,0,
21:59:00 29/03/2018,-0.826,-0.5671,-0.04875,-0.04875,121.6,58.25,60.23,2.327,3.083,3.812,-0.14,70.3,1000,0,0,0,0,0,0,
22:59:00 29/03/2018,-1.195,-0.8996,-0.1312,-0.1312,75.77,49.55,59.48,2.468,3.12,3.758,-0.195,69.44,1001,0,0,0,0,0,0,
23:59:00 29/03/2018,-1.998,-1.602,-0.2729,-0.2729,125.2,56.18,57.18,1.912,2.455,3.028,-0.3617,67.65,1001,0,0,0,0,0,0,
00:59:00 30/03/2018,-3.108,-2.576,-0.4301,-0.4301,175.5,75.97,41.82,1.773,2.232,2.702,-0.6017,65.94,1002,0,0,0,0,0,0,
01:59:00 30/03/2018,-3.262,-2.738,-0.4011,-0.4011,176,161.2,122.5,1.145,1.478,1.812,-0.8917,66.78,1002,0,0,0,0,0,0,
02:59:00 30/03/2018,-2.975,-2.565,-0.365,-0.365,181.4,73.25,56.47,1.332,1.695,2.068,-1.017,68,1002,0,0,0,0,0,0,
03:59:00 30/03/2018,-3.036,-2.558,-0.3591,-0.3591,233.2,173,106.1,1.085,1.37,1.653,-1.22,70.06,1002,0,0,0,0,0,0,
04:59:00 30/03/2018,-0.2544,-0.01394,8.522,8.522,185.8,122.4,82.22,1.213,1.492,1.775,-1.692,71.9,1002,0,0,0,0,0,0,
