Time(utc),GHI,DHI,DNI,LWD,wind_dir_min,wind_dir_avg,wind_dir_max,wind_speed_min,wind_speed_avg,wind_speed_max,air_temperature,relative_humidity,air_pressure,rain_accumulation,rain_duration,rain_intensity,hail_accumulation,hail_duration,hail_intensity,
00:59:00 01/01/2019,-0.543,-0.4849,0.1638,344.1,242.6,254.4,266.6,5.198,6.152,7.07,7.28,84.8,1008,0,0,0,0,0,0,
01:59:00 01/01/2019,-0.4589,-0.3992,0.1516,345.8,242.8,253.4,264,5.368,6.533,7.655,7.313,86.88,1006,0,0,0,0,0,0,
02:59:00 01/01/2019,-0.3063,-0.2596,0.2129,346.6,243.2,252,266.1,5.6,6.668,7.672,7.35,88.33,1004,0.02,3.667,0.008333,0,0,0,
03:59:00 01/01/2019,-0.12,-0.1234,0.1751,347.5,247.7,259.5,270.9,5.707,6.85,7.907,7.372,89.84,1002,0.01,1.833,0.01333,0,0,0,
04:59:00 01/01/2019,-0.2535,-0.2982,0.08402,331.7,263.5,278.4,292.8,5.457,6.832,8.19,7.603,87.56,1001,0.3,10.17,0.2867,0,0,0,
05:59:00 01/01/2019,-0.4323,-0.6146,-0.3842,290.3,264.7,281.3,295.7,5.305,6.937,8.472,6.73,73.09,1001,0.01,0.6667,0,0,0,0,
06:59:00 01/01/2019,-1.28,-1.408,-0.5186,270.9,267.5,284.6,293.3,6.053,7.557,9.028,6.52,72.6,999.7,0.01,0.5,0.006667,0,0,0,
07:59:00 01/01/2019,2.253,2.232,-0.4374,273.1,275.1,290.9,305.8,6.663,8.232,9.778,6.425,72.44,999.2,0.02,2.167,0.02,0,0,0,
08:59:00 01/01/2019,37.84,31.41,77.57,265.2,274.6,289.5,304.4,6.778,8.567,10.13,6.283,70.71,998.1,0.04,2.833,0.03167,0,0,0,
09:59:00 01/01/2019,89.67,64.76,190.8,263.9,277.6,288.9,306.2,7.638,9.663,11.51,6.395,69.19,997.5,0.14,6.167,0.125,0,0,0,
10:59:00 01/01/2019,123.5,83.88,225.2,266.8,277.3,294,310.2,7.08,8.877,10.61,6.4,68.7,997.4,0.06,3,0.05333,0,0,0,
11:59:00 01/01/2019,143.6,72.25,386,257.4,279.4,295.1,298.1,7.18,8.953,10.71,6.442,66.15,997,0.11,5.833,0.09333,0,0,0,
12:59:00 01/01/2019,106.9,68.83,233.8,258.4,284.7,298.8,312.4,6.777,8.602,10.42,6.132,65.12,997,0.05,3.667,0.04333,0,0,0,
13:59:00 01/01/2019,68.69,52.73,149,263.1,283.1,298.7,313.1,7.02,8.653,10.26,5.69,64.87,996.8,0.01,0.8333,0.008333,0,0,0,
14:59:00 01/01/2019,9.272,9.264,1.003,276.7,283.5,299.2,313.2,6.245,7.693,9.095,5.297,67.09,996.8,0.01,1.167,0.005,0,0,0,
15:59:00 01/01/2019,-0.7509,-0.8376,-0.2045,300.7,287.2,301.4,314.2,5.952,7.333,8.555,4.943,70.94,997.1,0.26,12.33,0.25,0,0,0,
16:59:00 01/01/2019,-0.2074,-0.4149,-0.2317,314.5,298.9,312.7,313.7,5.883,7.23,8.622,5.74,65.84,997.4,0,0.3333,0.001667,0,0,0,
17:59:00 01/01/2019,-0.5436,-0.6236,-0.1681,316.6,301,315.1,316.6,5.127,6.547,7.802,6.21,63.08,998.4,0.01,0.5,0,0,0,0,
18:59:00 01/01/2019,-1.08,-1.133,-0.3339,289.7,311.8,321,282,5.177,6.523,7.85,6.503,57.56,999.7,0,0.5,0.001667,0,0,0,
19:59:00 01/01/2019,-1.817,-1.894,-0.5636,251.8,308.6,321.5,303.6,5.45,6.685,7.845,6.033,58.11,1001,0,0.3333,0.003333,0,0,0,
20:59:00 01/01/2019,-1.78,-1.871,-0.5739,248.2,313.8,324.9,312.5,6.08,7.482,8.9,5.768,55.94,1002,0.01,1,0,0,0,0,
21:59:00 01/01/2019,-1.692,-1.761,-0.5553,254.1,313,314.9,299.3,5.298,6.662,8.075,5.698,55.98,1003,0,0.3333,0,0,0,0,
22:59:00 01/01/2019,-1.364,-1.383,-0.403,275.2,318.5,316.3,254.8,5.432,6.83,8.292,5.565,51.44,1004,0.01,1.167,0.015,0,0,0,
23:59:00 01/01/2019,-0.8892,-0.8854,-0.1745,299.9,313.9,318.1,195.7,4.632,5.922,7.312,5.393,48.18,1005,0.01,0.8333,0.001667,0,0,0,
00:59:00 02/01/2019,-0.8718,-0.8769,-0.1598,298.4,300.8,287.1,213.7,5.378,6.733,8.207,5.033,49.43,1006,0.05,2.333,0.04833,0,0,0,
01:59:00 02/01/2019,-1.008,-1.003,-0.2242,285.8,295.1,283.2,144.9,5.713,7.31,8.777,4.617,48.13,1008,0.04,2.167,0.035,0,0,0,
02:59:00 02/01/2019,-1.191,-1.185,-0.2876,276.6,324.1,268.8,131.1,5.512,7.02,8.548,4.152,45.92,1010,0.01,0.6667,0.003333,0,0,0,
03:59:00 02/01/2019,-1.713,-1.696,-0.438,250.4,302.6,234.5,126.6,4.915,6.16,7.403,3.602,45.96,1011,0.01,0.5,0.006667,0,0,0,
04:59:00 02/01/2019,-1.98,-1.974,-0.5664,234.9,285,230.7,122.7,3.93,5.058,6.247,3.063,48.13,1012,0,0.3333,0.001667,0,0,0,
05:59:00 02/01/2019,-2.042,-2.035,-0.5915,231.4,279.7,235.2,118.9,4.127,5.4,6.618,2.767,48.68,1014,0,0.1667,0,0,0,0,
06:59:00 02/01/2019,-2.096,-2.091,-0.6029,227.1,299.3,214.8,141.7,4.193,5.533,6.923,2.538,46.38,1016,0,0,0,0,0,0,
07:59:00 02/01/2019,2.015,1.873,0.8486,225.9,269.2,183,114.1,4.085,5.2,6.22,2.222,45.22,1018,0,0,0,0,0,0,
08:59:00 02/01/2019,40.16,26.18,182.9,237,257.4,190.2,134.7,3.345,4.38,5.287,2.093,46.95,1019,0,0,0,0,0,0,
09:59:00 02/01/2019,106,32.8,513.8,224.9,271.7,205,143.6,3.683,4.765,5.848,2.095,44.43,1020,0,0,0,0,0,0,
10:59:00 02/01/2019,158.8,36.55,682.3,223.2,244,174.2,103.6,3.972,5.16,6.273,2.245,40.71,1021,0,0,0,0,0,0,
11:59:00 02/01/2019,168.9,36.51,706.3,221.8,271.5,211.6,102,4.123,5.368,6.598,2.213,39.23,1021,0,0.1667,0,0,0,0,
12:59:00 02/01/2019,141,32.63,667.6,221.5,286.2,214.2,118.6,3.947,5.005,6.03,2.297,39.71,1022,0,0,0,0,0,0,
13:59:00 02/01/2019,81.06,24.55,519.2,223.1,301.9,228.6,144,4.107,5.125,6.223,2.277,41.82,1022,0,0,0,0,0,0,
14:59:00 02/01/2019,15.61,8.998,120.1,224.3,286.1,234.7,99.77,3.275,4.325,5.33,2.032,45.32,1023,0,0,0,0,0,0,
15:59:00 02/01/2019,-1.737,-1.909,-0.466,225.3,317.6,249.2,125.8,3.453,4.315,5.217,2.122,47.05,1023,0,0,0,0,0,0,
16:59:00 02/01/2019,-2.481,-2.645,-0.4838,227,278.8,204.7,148.3,2.523,3.26,3.977,2.208,45.95,1024,0,0,0,0,0,0,
