Time(utc),GHI,DHI,DNI,LWD,wind_dir_min,wind_dir_avg,wind_dir_max,wind_speed_min,wind_speed_avg,wind_speed_max,air_temperature,relative_humidity,air_pressure,rain_accumulation,rain_duration,rain_intensity,hail_accumulation,hail_duration,hail_intensity,
00:59:00 01/01/2017,-0.2276,-0.1904,-0.02653,-0.02653,235.4,246.6,258.5,4.417,5.263,6.115,8.19,79.98,1007,0.01,2.5,0.008333,0,0,0,
01:59:00 01/01/2017,-0.2474,-0.2069,-0.02828,-0.02828,233.3,243,252.4,4.158,4.852,5.532,8.195,80,1006,0,0.5,0,0,0,0,
02:59:00 01/01/2017,-0.3542,-0.3298,-0.003138,-0.003138,234.2,244.3,255.4,4.39,5.168,5.928,8.005,81.97,1005,0,0,0,0,0,0,
03:59:00 01/01/2017,-0.5902,-0.6189,0.07192,0.07192,238.5,249,260.1,4.655,5.497,6.293,7.755,84.04,1004,0,0,0,0,0,0,
04:59:00 01/01/2017,-0.5463,-0.5193,0.1551,0.1551,237.6,248.2,258.6,4.093,4.765,5.47,7.682,84.7,1004,0.04,8.167,0.02167,0,0,0,
05:59:00 01/01/2017,-0.2911,-0.2344,0.08392,0.08392,239.7,249,258.5,4.35,5.115,5.865,7.458,87.06,1003,0.26,29.67,0.225,0,0,0,
06:59:00 01/01/2017,-0.1656,-0.1352,0.0628,0.0628,234.5,245.9,256.2,3.878,4.592,5.238,7.355,87.95,1002,0.15,10.83,0.145,0,0,0,
07:59:00 01/01/2017,1.378,1.417,0.000829,0.000829,237.3,249.8,260.6,3.778,4.405,5.123,7.3,87.93,1002,0.16,25.17,0.1233,0,0,0,
08:59:00 01/01/2017,10.84,11.12,-0.151,-0.151,250.1,263,275.5,2.988,3.645,4.262,7.177,88,1002,0.43,41.67,0.39,0,0,0,
09:59:00 01/01/2017,24.69,25.16,-0.1667,-0.1667,266.1,278.7,291.1,2.4,2.897,3.387,6.837,88.13,1002,0.12,26,0.09,0,0,0,
10:59:00 01/01/2017,49.81,50.59,-0.3365,-0.3365,265,276.3,286.7,2.468,2.937,3.365,6.382,86.28,1003,0.02,5,0.003333,0,0,0,
11:59:00 01/01/2017,62.39,63.04,0.1062,0.1062,252.3,261.9,271,2.277,2.652,3.05,6.23,83.1,1002,0,0,0,0,0,0,
12:59:00 01/01/2017,36.92,37.31,-0.1091,-0.1091,262.2,275.4,288.1,2.493,2.982,3.415,6.245,82.71,1002,0,0,0,0,0,0,
13:59:00 01/01/2017,20.74,21.14,-0.2043,-0.2043,267.1,279.8,286.4,2.517,3.007,3.487,6.055,81.61,1002,0,0,0,0,0,0,
14:59:00 01/01/2017,5.798,6.185,-0.3282,-0.3282,272.7,285.2,291.5,2.622,3.225,3.777,5.668,79.14,1002,0,0,0,0,0,0,
15:59:00 01/01/2017,-1.262,-0.9535,-0.2842,-0.2842,269.9,281.9,282.8,2.243,2.705,3.128,5.23,77.71,1003,0,0,0,0,0,0,
16:59:00 01/01/2017,-1.848,-1.511,-0.3805,-0.3805,251.7,265.2,276.4,2.088,2.528,2.943,4.795,79.18,1003,0,0,0,0,0,0,
17:59:00 01/01/2017,-1.645,-1.344,-0.2995,-0.2995,256.8,267.9,280,2.095,2.498,2.917,4.502,81.13,1003,0,0.3333,0,0,0,0,
18:59:00 01/01/2017,-1.793,-1.517,-0.2968,-0.2968,265.6,277.5,289.9,1.533,1.882,2.218,4.437,80.79,1003,0,0,0,0,0,0,
19:59:00 01/01/2017,-1.824,-1.523,-0.2922,-0.2922,265.4,277.4,288,2.028,2.382,2.722,4.148,81.19,1003,0,0,0,0,0,0,
20:59:00 01/01/2017,-2.736,-2.284,-0.5252,-0.5252,280.4,289.8,299.2,2.048,2.427,2.783,3.763,82,1003,0,0,0,0,0,0,
21:59:00 01/01/2017,-3.071,-2.601,-0.5912,-0.5912,282.9,291.7,301.5,1.895,2.223,2.547,3.122,83.15,1003,0,0,0,0,0,0,
22:59:00 01/01/2017,-2.825,-2.416,-0.5,-0.5,274.1,284,293.7,1.89,2.24,2.568,2.662,84.69,1003,0,0,0,0,0,0,
23:59:00 01/01/2017,-2.866,-2.484,-0.4671,-0.4671,270.9,281.4,291.3,1.948,2.277,2.61,2.273,85.83,1003,0,0,0,0,0,0,
00:59:00 02/01/2017,-2.769,-2.414,-0.4568,-0.4568,282.6,292.6,303,1.985,2.303,2.642,2.07,86.17,1003,0,0,0,0,0,0,
01:59:00 02/01/2017,-3.346,-3.063,-0.5933,-0.5933,303.2,313.7,317.8,1.762,2.043,2.353,1.617,81.34,1004,0,0,0,0,0,0,
02:59:00 02/01/2017,-3.434,-3.127,-0.4569,-0.4569,313,317.5,322.1,1.595,1.882,2.167,1.295,78.02,1004,0,0,0,0,0,0,
03:59:00 02/01/2017,-3.607,-3.198,-0.4274,-0.4274,318.1,305.7,274.6,1.868,2.295,2.705,1.093,75.55,1004,0,0,0,0,0,0,
04:59:00 02/01/2017,-1.411,-3.483,-0.4979,-0.4979,317.7,317.7,262.5,1.202,1.443,1.707,0.6317,75.36,1005,0,0,0,0,0,0,
05:59:00 02/01/2017,-2.673,-3.311,-0.4654,-0.4654,300.6,302.8,300.6,1.375,1.605,1.838,0.3583,74.45,1005,0,0,0,0,0,0,
06:59:00 02/01/2017,-3.274,-3.069,-0.4917,-0.4917,296.4,305.6,308.9,1.695,2,2.308,0,76.53,1006,0,0,0,0,0,0,
07:59:00 02/01/2017,0.0657,0.6405,-0.5037,-0.5037,304.8,314.8,323.7,1.902,2.227,2.537,-0.003333,74.41,1006,0,0,0,0,0,0,
08:59:00 02/01/2017,51.88,18.56,270,270,299.1,309.2,319.7,1.938,2.287,2.625,0.2333,69.84,1007,0,0,0,0,0,0,
09:59:00 02/01/2017,135.3,40.7,566.8,566.8,302.1,311.9,314.4,1.833,2.167,2.517,1.242,62.5,1007,0,0,0,0,0,0,
10:59:00 02/01/2017,152.9,42.11,604.4,604.4,295.1,305,314,1.932,2.253,2.557,1.993,59.18,1007,0,0,0,0,0,0,
11:59:00 02/01/2017,160,52.79,550.3,550.3,307.2,317.6,321.2,2.252,2.617,2.955,2.76,56.7,1007,0,0,0,0,0,0,
12:59:00 02/01/2017,101.1,55.68,283.2,283.2,293.9,306.8,318.7,2.573,3.047,3.493,2.508,64.48,1007,0,0,0,0,0,0,
13:59:00 02/01/2017,89.33,35.89,454.9,454.9,299,308.6,313.6,1.53,1.77,2.012,2.93,61.29,1007,0,0,0,0,0,0,
14:59:00 02/01/2017,15.88,9.959,105.6,105.6,288.4,299.7,310.4,1.588,1.92,2.233,2.597,63.5,1007,0,0,0,0,0,0,
15:59:00 02/01/2017,-3.49,-2.839,-0.7783,-0.7783,256.9,265.4,274,1.445,1.732,1.995,1.537,65.85,1007,0,0,0,0,0,0,
16:59:00 02/01/2017,-3.513,-2.894,-0.6135,-0.6135,256.8,266.1,275.3,2.002,2.29,2.567,0.845,68.52,1007,0,0,0,0,0,0,
17:59:00 02/01/2017,-2.623,-2.953,-0.609,-0.609,247.2,255.4,263.6,1.723,1.963,2.208,0.585,72.11,1007,0,0,0,0,0,0,
18:59:00 02/01/2017,-3.193,-2.857,-0.5251,-0.5251,237,243.1,249.3,1.588,1.792,1.977,0.07167,75.23,1007,0,0,0,0,0,0,
19:59:00 02/01/2017,-3.578,-2.7,-0.4882,-0.4882,232.3,238.4,245,1.87,2.102,2.327,-0.04667,76.36,1007,0,0,0,0,0,0,
20:59:00 02/01/2017,-3.66,-2.744,-0.4746,-0.4746,227,235.2,243.2,1.778,1.992,2.218,-0.5067,77.57,1007,0,0,0,0,0,0,
21:59:00 02/01/2017,-3.436,-2.539,-0.4218,-0.4218,224.7,233,241.1,1.755,2.015,2.268,-0.6417,78.02,1007,0,0,0,0,0,0,
22:59:00 02/01/2017,-3.235,-2.675,-0.4411,-0.4411,231.8,238.6,245.4,1.705,1.908,2.112,-0.855,79.15,1007,0,0,0,0,0,0,
23:59:00 02/01/2017,-3.063,-2.422,-0.4147,-0.4147,245.9,252.9,260,1.555,1.747,1.937,-0.8033,82.51,1007,0,0,0,0,0,0,
00:59:00 03/01/2017,-2.683,-2.139,-0.2856,-0.2856,244.8,252.1,259.5,1.402,1.613,1.823,-0.5167,84.58,1006,0,0,0,0,0,0,
01:59:00 03/01/2017,-1.103,-0.9606,0.0607,0.0607,245.3,254.5,263.6,1.89,2.178,2.468,0.08,85.57,1006,0,0,0,0,0,0,
02:59:00 03/01/2017,-0.8592,-0.8271,0.1792,0.1792,245,253.4,262.4,2.168,2.483,2.82,0.4283,85.21,1006,0,0,0,0,0,0,
03:59:00 03/01/2017,-0.4578,-0.5793,0.3257,0.3257,244.3,258,270.2,2.315,2.763,3.188,0.7283,85.34,1005,0,0,0,0,0,0,
04:59:00 03/01/2017,-0.9998,-0.9466,0.1617,0.1617,236.8,244.4,252.4,2.467,2.83,3.19,0.685,85.07,1005,0,0,0,0,0,0,
05:59:00 03/01/2017,-1.15,-1.028,0.1027,0.1027,232.1,243.7,255.4,2.05,2.438,2.838,0.5733,85.36,1004,0,0,0,0,0,0,
