Time(utc),GHI,DHI,DNI,LWD,wind_dir_min,wind_dir_avg,wind_dir_max,wind_speed_min,wind_speed_avg,wind_speed_max,air_temperature,relative_humidity,air_pressure,rain_accumulation,rain_duration,rain_intensity,hail_accumulation,hail_duration,hail_intensity,
06:59:00 03/01/2017,-0.5736,-0.4913,0.194,0.194,229.3,238.6,247.7,2.328,2.65,3.005,1.14,85.29,1003,0.11,8.167,0.1,0,0,0,
07:59:00 03/01/2017,1.419,1.475,0.2938,0.2938,233.2,242,249.7,2.443,2.823,3.198,1.972,85.86,1002,0.05,7.833,0.03833,0,0,0,
08:59:00 03/01/2017,15.27,15.51,0.08386,0.08386,231.7,241.3,250.8,2.64,3.027,3.423,2.555,86.32,1002,0.06,9.833,0.04833,0,0,0,
09:59:00 03/01/2017,24.07,24.31,0.08557,0.08557,229.6,239,248.6,3.062,3.583,4.058,3.053,86.74,1000,0,0.6667,0.001667,0,0,0,
10:59:00 03/01/2017,30.69,30.96,0.04676,0.04676,236.5,247.3,257.8,3.173,3.73,4.285,3.565,86.36,999.4,0,0,0,0,0,0,
11:59:00 03/01/2017,30.45,30.8,-0.08678,-0.08678,229.8,239,249,3.113,3.66,4.198,3.997,86.65,997.8,0.25,26.67,0.2233,0,0,0,
12:59:00 03/01/2017,29.84,30.18,0.04599,0.04599,225.6,236.1,246.9,3.307,3.91,4.425,4.435,87.38,995.7,1.08,42.33,1.04,0,0,0,
13:59:00 03/01/2017,14.8,14.92,0.06286,0.06286,232.1,241.8,250.8,3.712,4.298,4.923,5.092,88.04,993.8,0.64,30,0.605,0,0,0,
14:59:00 03/01/2017,4.366,4.401,0.004855,0.004855,251,262.3,273.9,3.967,4.852,5.713,6.162,87.84,992,0.38,9.5,0.3783,0,0,0,
15:59:00 03/01/2017,-0.1417,-0.03737,-0.2103,-0.2103,249.6,263.3,276,4.705,5.637,6.585,6.66,84.96,990.4,0,0,0,0,0,0,
16:59:00 03/01/2017,-0.5174,-0.2212,-0.3533,-0.3533,246.2,261.2,275.7,4.778,5.883,6.92,6.705,83.03,989,0,0,0,0,0,0,
17:59:00 03/01/2017,-0.7857,-0.5075,-0.3247,-0.3247,263.8,279.1,289.2,5.205,6.575,7.998,6.963,77.76,988.5,0.01,0.5,0,0,0,0,
18:59:00 03/01/2017,-1.421,-1.052,0.09857,0.09857,272,285.2,298.5,5.628,7.153,8.472,6.177,75.3,987.9,0.79,13,0.785,0,0,0,
19:59:00 03/01/2017,-0.7938,-0.6394,-0.2347,-0.2347,268.9,284.4,300.2,4.91,6.085,7.173,5.763,71.66,987,0,0.1667,0,0,0,0,
20:59:00 03/01/2017,-2.061,-1.699,-0.5365,-0.5365,271.9,286.6,303,5.383,6.74,8.095,5.41,64.58,986.2,0,0.1667,0,0,0,0,
21:59:00 03/01/2017,-2.487,-1.983,-0.5797,-0.5797,274.4,290.2,303.6,5.477,6.662,7.81,4.753,64.9,985.9,0,0,0,0,0,0,
22:59:00 03/01/2017,-2.236,-1.79,-0.5338,-0.5338,278.9,292.1,305,5.537,6.722,7.82,4.333,64.5,985.3,0,0.1667,0,0,0,0,
23:59:00 03/01/2017,-1.287,-1.047,-0.243,-0.243,277.8,293.4,301.4,5.432,6.712,7.957,4.06,65.73,984.7,0,0.1667,0,0,0,0,
00:59:00 04/01/2017,-1.534,-1.242,-0.3136,-0.3136,274,290.8,306.2,5.175,6.412,7.7,3.71,68.02,984.1,0,0,0,0,0,0,
01:59:00 04/01/2017,-1.236,-1.02,-0.2224,-0.2224,276.3,290.2,302.9,5.24,6.338,7.368,3.767,70.81,983.4,0,0.3333,0,0,0,0,
02:59:00 04/01/2017,-0.6354,-0.5252,0.003474,0.003474,263.8,279.7,284.9,4.15,5.193,6.173,3.922,72.43,982.2,0,0,0,0,0,0,
03:59:00 04/01/2017,-0.6627,-0.5954,0.06902,0.06902,273.3,286.4,293.8,4.662,5.65,6.575,4.322,73.68,980.9,2.35,6.5,2.345,0,0,0,
04:59:00 04/01/2017,-1.55,-1.072,-0.2579,-0.2579,296.5,308.8,315.1,4.945,5.937,7.002,4.353,72.34,980.7,0.09,5.333,0.08,0,0,0,
05:59:00 04/01/2017,-2.066,-1.517,-0.41,-0.41,304.6,316.2,321.4,4.333,5.178,6.05,4.575,64.9,981.5,0,0,0,0,0,0,
06:59:00 04/01/2017,-2.471,-2.041,-0.4911,-0.4911,309.4,323.2,276.9,4.358,5.528,6.642,3.975,57.15,982.6,0,0,0,0,0,0,
07:59:00 04/01/2017,1.186,1.606,-0.4294,-0.4294,314.7,317.5,266.7,4.57,5.622,6.652,3.065,60.19,983.9,0,0.1667,0.001667,0,0,0,
08:59:00 04/01/2017,21.15,21.69,2.605,2.605,312.9,297,246.1,3.7,4.673,5.568,1.415,65.74,986.3,0,0,0,0,0,0,
09:59:00 04/01/2017,49.41,49.63,3.999,3.999,314.6,294,225.7,3.195,4.113,5.075,1.637,68.47,988.2,0,0,0,0,0,0,
10:59:00 04/01/2017,87.67,73.15,79.27,79.27,304.5,238.2,140.1,3.452,4.492,5.52,1.847,65.16,990.1,0,0,0,0,0,0,
11:59:00 04/01/2017,120.8,60.47,304.3,304.3,268.3,226,105.4,3.168,4.087,5,2.028,60.41,991.8,0,0,0,0,0,0,
12:59:00 04/01/2017,37.15,37.69,0.2946,0.2946,214.5,140.2,101.6,2.862,3.723,4.587,1.647,58.92,993.3,0,0,0,0,0,0,
13:59:00 04/01/2017,54.77,42.59,101.1,101.1,211,151.4,86.42,3.16,3.935,4.735,1.508,57.63,994.9,0,0,0,0,0,0,
14:59:00 04/01/2017,17.13,17.25,5.458,5.458,284.4,193.9,144.7,2.837,3.565,4.228,1.335,58.03,996.3,0,0,0,0,0,0,
15:59:00 04/01/2017,-1.059,-0.8807,-0.2167,-0.2167,231.6,163.8,125.7,2.372,3.217,4.062,0.9817,60.41,997.9,0,0,0,0,0,0,
16:59:00 04/01/2017,-1.51,-1.344,-0.2645,-0.2645,127.2,78.83,55.85,3.37,4.403,5.403,0.6,54.74,999.4,0,0,0,0,0,0,
17:59:00 04/01/2017,-2.363,-2.054,-0.4381,-0.4381,144,97.05,56.78,3.002,3.908,4.94,0.04167,52.15,1001,0,0,0,0,0,0,
18:59:00 04/01/2017,-2.769,-2.406,-0.4796,-0.4796,112.3,82.55,59.2,3.133,4.128,5.038,-0.7167,54.46,1003,0,0,0,0,0,0,
19:59:00 04/01/2017,-2.754,-2.422,-0.4585,-0.4585,136.4,63.82,67.93,2.768,3.575,4.385,-1.24,54.48,1004,0,0,0,0,0,0,
20:59:00 04/01/2017,-2.935,-2.624,-0.4936,-0.4936,76.02,49.97,61.15,2.927,3.647,4.397,-1.69,53.24,1006,0,0,0,0,0,0,
21:59:00 04/01/2017,-3.129,-2.76,-0.5223,-0.5223,86.08,67.6,69.63,2.485,3.19,3.847,-2.502,54.81,1008,0,0,0,0,0,0,
22:59:00 04/01/2017,-2.837,-2.513,-0.4795,-0.4795,66.93,36.02,54.02,3.167,4.013,4.772,-3.31,55.41,1010,0,0,0,0,0,0,
23:59:00 04/01/2017,-3.049,-2.664,-0.4907,-0.4907,91.63,61.67,54.4,2.598,3.203,3.808,-3.84,57.35,1012,0,0,0,0,0,0,
00:59:00 05/01/2017,-3.053,-2.69,-0.4855,-0.4855,108.8,85.05,68.72,2.068,2.638,3.202,-4.475,59.78,1013,0,0,0,0,0,0,
01:59:00 05/01/2017,-2.723,-2.373,-0.4261,-0.4261,163.7,101.6,74.67,2.092,2.588,3.087,-5.025,61.76,1015,0,0,0,0,0,0,
02:59:00 05/01/2017,-2.717,-2.337,-0.4323,-0.4323,105.7,69.18,58.25,2.26,2.883,3.51,-5.513,62,1016,0,0,0,0,0,0,
03:59:00 05/01/2017,-2.754,-2.443,-0.4244,-0.4244,86.95,63.17,62.67,2.12,2.595,3.108,-5.738,61.75,1017,0,0,0,0,0,0,
04:59:00 05/01/2017,-2.884,-2.502,-0.388,-0.388,160.2,75.38,60.17,1.7,2.193,2.648,-5.94,61.83,1019,0,0,0,0,0,0,
05:59:00 05/01/2017,-2.026,-1.793,-0.2958,-0.2958,84.75,58.62,57.97,2.33,2.95,3.567,-5.907,61.35,1020,0,0,0,0,0,0,
06:59:00 05/01/2017,-2.597,-2.332,-0.4383,-0.4383,53.25,51.68,62.55,2.5,3.12,3.74,-6.412,59.83,1021,0,0,0,0,0,0,
07:59:00 05/01/2017,1.88,2.292,0.274,0.274,82.2,53.47,55.88,2.768,3.418,4.012,-6.782,58.85,1022,0,0,0,0,0,0,
08:59:00 05/01/2017,45.62,18.54,368.4,368.4,63.2,47.62,62.32,3.008,3.732,4.46,-6.963,53.14,1024,0,0,0,0,0,0,
09:59:00 05/01/2017,125.4,28.36,664.9,664.9,84.25,47.72,57.57,2.948,3.687,4.443,-7.005,47.29,1026,0,0,0,0,0,0,
10:59:00 05/01/2017,173.5,33.44,748.8,748.8,97.53,55.37,56,2.947,3.752,4.548,-6.648,46.95,1026,0,0,0,0,0,0,
11:59:00 05/01/2017,184.1,34.73,758.6,758.6,83.27,59.07,72.1,3.29,4.092,4.882,-6.31,46.25,1027,0,0,0,0,0,0,
12:59:00 05/01/2017,157.3,31.68,717.1,717.1,153.7,100.7,79.12,2.082,2.672,3.3,-6.107,47.92,1027,0,0,0,0,0,0,
13:59:00 05/01/2017,97.9,24.68,588.6,588.6,186.1,66.42,71.9,2.112,2.813,3.518,-6.153,49.38,1028,0,0,0,0,0,0,
14:59:00 05/01/2017,23.23,10.88,188.1,188.1,153.1,72.2,62.37,2.018,2.607,3.188,-6.287,51.47,1029,0,0,0,0,0,0,
15:59:00 05/01/2017,-2.371,-1.977,-0.4902,-0.4902,108.5,72.03,54.17,2.353,2.89,3.445,-6.572,50.89,1030,0,0,0,0,0,0,
16:59:00 05/01/2017,-3.024,-2.689,-0.4685,-0.4685,86.27,53.12,57.43,2.152,2.842,3.492,-6.773,52.63,1030,0,0,0,0,0,0,
17:59:00 05/01/2017,-3.105,-2.735,-0.4771,-0.4771,88.9,47.67,54.32,2.197,2.817,3.435,-6.983,53.05,1031,0,0,0,0,0,0,
18:59:00 05/01/2017,-3.278,-2.917,-0.5115,-0.5115,89.37,67.13,70.48,2,2.478,2.937,-7.338,51.8,1032,0,0,0,0,0,0,
19:59:00 05/01/2017,-3.265,-2.885,-0.4523,-0.4523,79.45,60.65,60.8,1.663,2.082,2.507,-7.382,49.87,1033,0,0,0,0,0,0,
20:59:00 05/01/2017,-3.086,-2.791,-0.4529,-0.4529,64.18,54.27,55.93,2.262,2.727,3.188,-7.375,49.04,1033,0,0,0,0,0,0,
21:59:00 05/01/2017,-3.223,-2.91,-0.495,-0.495,63.02,59.32,66.63,1.908,2.322,2.735,-7.368,49,1033,0,0,0,0,0,0,
22:59:00 05/01/2017,-3.225,-2.904,-0.4701,-0.4701,59.72,50.23,66.35,1.898,2.325,2.747,-7.695,51.11,1034,0,0,0,0,0,0,
23:59:00 05/01/2017,-3.006,-3.121,-0.5351,-0.5351,84.45,60.43,73.42,1.223,1.543,1.87,-7.917,53.72,1034,0,0,0,0,0,0,
00:59:00 06/01/2017,-3.351,-3.091,-0.4797,-0.4797,80,52.55,54.3,1.203,1.507,1.782,-8.257,58.24,1034,0,0,0,0,0,0,
01:59:00 06/01/2017,-3.432,-3.319,-0.4866,-0.4866,58.07,58.98,66.33,0.8633,1.018,1.187,-8.472,61.68,1034,0,0,0,0,0,0,
02:59:00 06/01/2017,-3.031,-3.04,-0.3012,-0.3012,85.65,75.53,83.07,0.6733,0.7867,0.9083,-8.553,62.47,1035,0,0,0,0,0,0,
03:59:00 06/01/2017,-3.009,-2.899,-0.2679,-0.2679,163.3,145.7,151.4,0.525,0.6417,0.745,-8.47,61.26,1035,0,0,0,0,0,0,
04:59:00 06/01/2017,-3.039,-3.008,-0.2066,-0.2066,263,267,270.2,0.5783,0.6833,0.7967,-9.007,64.85,1035,0,0,0,0,0,0,
05:59:00 06/01/2017,-3.066,-3.435,-0.4177,-0.4177,115.5,121.3,131.8,0.2433,0.33,0.4033,-9.362,67.5,1035,0,0,0,0,0,0,
06:59:00 06/01/2017,-3.07,-3.254,-0.3062,-0.3062,259,262.3,254.7,0.395,0.4783,0.5683,-9.393,68.23,1035,0,0,0,0,0,0,
07:59:00 06/01/2017,2.213,1.787,2.021,2.021,146.8,150.3,147.2,0.3533,0.4483,0.5567,-9.233,67.75,1035,0,0,0,0,0,0,
08:59:00 06/01/2017,65.72,19.78,398,398,98.88,105.4,119.3,0.3683,0.44,0.5467,-7.98,65.1,1035,0,0,0,0,0,0,
09:59:00 06/01/2017,158,32.03,650.3,650.3,165.8,165.9,154.1,0.595,0.705,0.8217,-6.837,62.63,1035,0,0,0,0,0,0,
10:59:00 06/01/2017,185,36.68,722.1,722.1,133.7,126.8,139.4,0.74,0.9083,1.075,-5.243,53.11,1035,0,0,0,0,0,0,
11:59:00 06/01/2017,177.2,43.7,672.7,672.7,176.8,185.1,200.1,0.8083,1.017,1.223,-4.638,45.28,1034,0,0,0,0,0,0,
12:59:00 06/01/2017,155.7,54.54,566.6,566.6,211.8,222.1,231.1,1.617,1.878,2.152,-4.648,39.87,1034,0,0,0,0,0,0,
13:59:00 06/01/2017,105.9,43.45,497.5,497.5,197.4,213.4,229.8,1.38,1.727,2.093,-4.258,46.2,1033,0,0,0,0,0,0,
14:59:00 06/01/2017,19.93,10.14,138.1,138.1,201.5,214.8,226.3,1.96,2.332,2.695,-4.485,48.57,1032,0,0,0,0,0,0,
15:59:00 06/01/2017,-2.483,-1.836,-0.3307,-0.3307,216,225.1,234.2,1.647,1.888,2.15,-4.953,52.09,1032,0,0,0,0,0,0,
16:59:00 06/01/2017,-2.304,-1.813,-0.1985,-0.1985,215.6,225.3,234.8,1.833,2.148,2.495,-5.128,56.8,1032,0,0,0,0,0,0,
17:59:00 06/01/2017,-1.462,-1.188,-0.06281,-0.06281,192.9,207.5,220.1,1.993,2.395,2.798,-5.047,60.24,1032,0,0,0,0,0,0,
18:59:00 06/01/2017,-0.8057,-0.6963,0.07836,0.07836,181.5,200.8,219.9,1.668,2.058,2.462,-4.613,56.26,1031,0,0,0,0,0,0,
19:59:00 06/01/2017,-0.4689,-0.4391,0.1447,0.1447,193,209.9,226.1,1.913,2.435,2.957,-4.14,52,1030,0,0,0,0,0,0,
20:59:00 06/01/2017,-0.477,-0.4353,0.1224,0.1224,193.2,208.4,223.2,2.205,2.743,3.293,-3.787,55.5,1029,0,0,0,0,0,0,
21:59:00 06/01/2017,-0.7736,-0.6767,0.03485,0.03485,202.3,216.3,229.9,2.232,2.792,3.308,-3.608,58.13,1028,0,0,0,0,0,0,
22:59:00 06/01/2017,-0.5631,-0.4951,0.07642,0.07642,193.5,211.2,231.3,2.352,2.973,3.663,-3.6,58.97,1027,0,0,0,0,0,0,
23:59:00 06/01/2017,-0.4551,-0.4129,0.09805,0.09805,201,210.6,226.7,2.628,3.273,3.908,-3.4,61.33,1026,0,0,0,0,0,0,
00:59:00 07/01/2017,-0.5078,-0.4541,0.07104,0.07104,197.7,211.3,224.2,2.987,3.642,4.282,-3.472,63,1025,0,0,0,0,0,0,
01:59:00 07/01/2017,-0.2818,-0.2781,0.1287,0.1287,206.7,218.3,230,2.907,3.545,4.15,-3.502,67.32,1025,0,0.5,0,0,0,0,
02:59:00 07/01/2017,-0.1919,-0.2025,0.1486,0.1486,196.8,213.8,230.5,2.775,3.512,4.253,-3.45,68.22,1023,0,0,0,0,0,0,
03:59:00 07/01/2017,-0.0365,-0.07201,0.1711,0.1711,194.3,210.9,220.1,3.173,3.985,4.777,-3.433,69.16,1022,0,0,0,0,0,0,
04:59:00 07/01/2017,0.01848,-0.0187,0.1808,0.1808,203.3,216.2,227.2,3.912,4.74,5.573,-3.007,65.92,1021,0,0,0,0,0,0,
05:59:00 07/01/2017,-0.03043,-0.07255,0.1635,0.1635,198,213,229,3.457,4.297,5.232,-2.605,70.12,1019,0,0,0,0,0,0,
06:59:00 07/01/2017,-0.05581,-0.1295,0.1554,0.1554,201.8,215.4,229.5,3.542,4.417,5.338,-2.705,78.67,1018,0,0,0,0,0,0,
07:59:00 07/01/2017,1.263,1.353,0.1536,0.1536,212.6,225,236.8,4.473,5.338,6.135,-2.697,82.48,1017,0.05,6.667,0.04,0,0,0,
08:59:00 07/01/2017,7.955,8.135,0.1199,0.1199,221.3,232.9,241.8,4.112,5.127,6.147,-1.93,84.84,1017,0.05,1.333,0.04333,0,0,0,
09:59:00 07/01/2017,16.94,17.15,0.2408,0.2408,258.9,276.9,297,2.192,3.022,3.767,-0.6717,85.74,1016,0.12,10.17,0.1083,0,0,0,
10:59:00 07/01/2017,28.22,28.55,-0.08626,-0.08626,169.5,183.7,197,3.872,4.538,5.317,0.08167,86.12,1014,0,0,0,0,0,0,
11:59:00 07/01/2017,28.87,28.85,-0.01914,-0.01914,236.8,250.5,262.6,3.4,4.127,4.853,0.545,86.14,1014,0.01,1,0.008333,0,0,0,
12:59:00 07/01/2017,20.88,20.65,0.09321,0.09321,242.6,255,267.2,2.477,3.018,3.562,0.92,86.7,1013,0,0,0,0,0,0,
13:59:00 07/01/2017,8.416,7.864,0.09053,0.09053,236.2,243.8,250.8,2.007,2.327,2.633,1.405,87.37,1013,0,0,0,0,0,0,
14:59:00 07/01/2017,3.258,2.92,0.0955,0.0955,235.8,243.7,251.5,2.372,2.662,2.958,1.732,87.81,1013,0,0,0,0,0,0,
15:59:00 07/01/2017,0.1201,-0.04846,0.4953,0.4953,243.4,251.5,259.7,1.923,2.175,2.443,1.928,88.13,1013,0,0,0,0,0,0,
16:59:00 07/01/2017,0.01983,-0.1598,0.3353,0.3353,294.2,293,297.9,0.8717,1.08,1.28,2.272,88.37,1014,0,0,0,0,0,0,
17:59:00 07/01/2017,0.07735,-0.1331,0.2023,0.2023,176,127.5,79.48,0.9033,1.082,1.265,2.487,88.63,1014,0,0,0,0,0,0,
18:59:00 07/01/2017,-0.2387,-0.2857,0.05939,0.05939,66.18,66.72,78.4,2.053,2.43,2.85,1.822,88.67,1015,0,0,0,0,0,0,
19:59:00 07/01/2017,-0.1715,-0.2866,0.1536,0.1536,52.93,57.3,66.98,2.06,2.43,2.767,1.058,88.65,1016,0,0,0,0,0,0,
20:59:00 07/01/2017,-0.0296,-0.4068,0.1542,0.1542,41.38,53.88,60.15,1.898,2.295,2.682,0.7383,87.83,1017,0,0,0,0,0,0,
21:59:00 07/01/2017,0.05461,-0.4771,0.1383,0.1383,40.37,49.95,59.6,1.948,2.31,2.628,0.6867,84.46,1018,0,0,0,0,0,0,
